0,1,2,3,4,5,6,7,8,9,10,11,12,13,winner,turn,move_number
8,0,0,1,7,2,3,24,0,0,0,2,1,0,player_1,player_2,23
15,4,0,0,0,0,3,22,4,0,0,0,0,0,player_2,player_1,23
15,2,2,0,1,0,1,14,2,2,1,4,0,4,tie,player_2,30
18,0,0,0,0,0,0,30,0,0,0,0,0,0,player_1,,60
4,1,0,10,0,8,0,12,0,7,1,1,0,4,player_1,player_2,13
0,4,4,4,4,4,4,0,4,4,4,4,4,4,player_1,player_1,0
13,0,2,1,3,3,2,14,0,0,3,3,3,1,player_1,player_1,44
1,0,6,6,5,5,0,7,0,5,5,4,4,0,player_1,player_2,3
15,3,0,2,7,0,2,13,1,0,0,4,0,1,player_1,player_2,44
1,4,4,0,0,6,6,2,5,5,0,5,5,5,player_1,player_2,3
8,5,0,0,12,4,3,6,4,0,0,0,5,1,player_2,player_2,20
0,4,4,4,4,4,0,1,5,5,5,4,4,4,player_2,player_2,1
2,6,1,6,6,5,0,7,0,5,0,5,5,0,player_2,player_1,4
4,0,1,7,0,0,8,9,1,6,2,0,9,1,player_1,player_2,11
5,1,1,0,0,6,10,9,1,9,2,1,1,2,player_1,player_2,13
9,4,1,0,1,2,11,12,0,3,2,3,0,0,player_1,player_1,17
0,0,5,5,5,5,0,1,5,0,7,5,5,5,player_1,player_1,4
5,3,1,1,10,3,2,6,8,7,1,1,0,0,player_1,player_1,13
1,4,4,0,5,0,6,2,5,0,6,5,5,5,player_1,player_2,3
2,0,2,1,1,9,3,5,7,5,5,0,0,8,player_1,player_1,10
9,0,0,1,5,2,1,23,1,1,1,1,1,2,player_1,player_2,27
6,3,3,1,0,1,0,8,3,14,0,2,3,4,player_2,player_1,24
10,2,0,0,0,0,1,20,0,0,5,1,6,3,player_1,player_1,35
2,2,7,0,7,6,0,2,5,5,5,0,1,6,player_2,player_2,6
7,1,1,4,0,2,1,17,3,4,0,5,3,0,player_1,player_1,18
10,6,0,1,2,1,1,6,5,0,2,1,13,0,tie,player_1,21
